,N,m,s,group_size,seed,max_tests_per_individual,tn,fp,fn,tp,balanced_accuracy,Status,solver_time,time
0,1000,500,50,8,10,16,950,0,2,48,0.98,101,49.42,49.88
1,1000,500,50,16,10,16,950,0,1,49,0.99,101,69.11,69.56
